offset_hex,size_bytes,domain,name,type,min_raw,max_raw,step_raw,parameters,default,risk,state,description_fr,ifr_help
0x15F,2,SA,IMON Slope,Numeric,0,1999,1,0..1999 raw /1000; 0=AUTO,0,🔴,✅ IFR,Calibre la pente de télémétrage IMON du VR SA en millièmes ; 0 = AUTO.,"IMON Slope defined in 1/1000 increments. Range is 0-1999. For a 1.25 slope, enter 1250. 0 = AUTO."
0x161,2,E-core,IMON Slope,Numeric,0,1999,1,0..1999 raw /1000; 0=AUTO,0,🔴,✅ IFR,Calibre la pente de télémétrage IMON du VR E-core en millièmes ; 0 = AUTO.,"IMON Slope defined in 1/1000 increments. Range is 0-1999. For a 1.25 slope, enter 1250. 0 = AUTO."
0x163,2,L2,IMON Slope,Numeric,0,1999,1,0..1999 raw /1000; 0=AUTO,0,🔴,✅ IFR,Calibre la pente de télémétrage IMON du VR L2 en millièmes ; 0 = AUTO.,"IMON Slope defined in 1/1000 increments. Range is 0-1999. For a 1.25 slope, enter 1250. 0 = AUTO."
0x165,2,VDDQ,IMON Slope,Numeric,0,1999,1,0..1999 raw /1000; 0=AUTO,0,🔴,✅ IFR,Calibre la pente de télémétrage IMON du VR VDDQ en millièmes ; 0 = AUTO.,"IMON Slope defined in 1/1000 increments. Range is 0-1999. For a 1.25 slope, enter 1250. 0 = AUTO."
0x167,4,P-core,IMON Offset,Numeric,0,128000,1,0..128000 raw /1000,0,🔴,✅ IFR,Calibre l'offset IMON du VR P-core ; le signe est défini par IMON Prefix.,"IMON Offset defined in 1/1000 increments. Range is 0-128000. For an offset of 25.348, enter 25348."
0x16B,4,GT/iGPU,IMON Offset,Numeric,0,128000,1,0..128000 raw /1000,0,🔴,✅ IFR,Calibre l'offset IMON du VR GT/iGPU ; le signe est défini par IMON Prefix.,"IMON Offset defined in 1/1000 increments. Range is 0-128000. For an offset of 25.348, enter 25348."
0x16F,4,SA,IMON Offset,Numeric,0,128000,1,0..128000 raw /1000,0,🔴,✅ IFR,Calibre l'offset IMON du VR SA ; le signe est défini par IMON Prefix.,"IMON Offset defined in 1/1000 increments. Range is 0-128000. For an offset of 25.348, enter 25348."
0x173,4,E-core,IMON Offset,Numeric,0,128000,1,0..128000 raw /1000,0,🔴,✅ IFR,Calibre l'offset IMON du VR E-core ; le signe est défini par IMON Prefix.,"IMON Offset defined in 1/1000 increments. Range is 0-128000. For an offset of 25.348, enter 25348."
0x177,4,L2,IMON Offset,Numeric,0,128000,1,0..128000 raw /1000,0,🔴,✅ IFR,Calibre l'offset IMON du VR L2 ; le signe est défini par IMON Prefix.,"IMON Offset defined in 1/1000 increments. Range is 0-128000. For an offset of 25.348, enter 25348."
0x17B,4,VDDQ,IMON Offset,Numeric,0,128000,1,0..128000 raw /1000,0,🔴,✅ IFR,Calibre l'offset IMON du VR VDDQ ; le signe est défini par IMON Prefix.,"IMON Offset defined in 1/1000 increments. Range is 0-128000. For an offset of 25.348, enter 25348."
0x17F,1,P-core,IMON Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🔴,✅ IFR,Choisit le signe + ou - de l'offset IMON pour P-core.,Sets the offset value as positive or negative.
0x180,1,GT/iGPU,IMON Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🔴,✅ IFR,Choisit le signe + ou - de l'offset IMON pour GT/iGPU.,Sets the offset value as positive or negative.
0x181,1,SA,IMON Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🔴,✅ IFR,Choisit le signe + ou - de l'offset IMON pour SA.,Sets the offset value as positive or negative.
0x182,1,E-core,IMON Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🔴,✅ IFR,Choisit le signe + ou - de l'offset IMON pour E-core.,Sets the offset value as positive or negative.
0x183,1,L2,IMON Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🔴,✅ IFR,Choisit le signe + ou - de l'offset IMON pour L2.,Sets the offset value as positive or negative.
0x184,1,VDDQ,IMON Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🔴,✅ IFR,Choisit le signe + ou - de l'offset IMON pour VDDQ.,Sets the offset value as positive or negative.
0x185,2,P-core,VR Current Limit,Numeric,0,1023,1,"0..1023 raw, pas 0,25 A (255.75 A max IFR); 0=AUTO/0 selon champ",0,🔴,👀 IFR + lecture live,"Fixe ICCMAX du VR P-core, en pas de 1/4 A ; 0 = AUTO.",Voltage Regulator Current Limit (Icc Max). This value represents the Maximum instantaneous current allowed at any given time. The value is represented in 1/4 A increments. A value of 400 = 100A. 0 means AUTO.
0x187,2,GT/iGPU,VR Current Limit,Numeric,0,1023,1,"0..1023 raw, pas 0,25 A (255.75 A max IFR); 0=AUTO/0 selon champ",0,🔴,👀 IFR + lecture live,"Fixe ICCMAX du VR GT/iGPU, en pas de 1/4 A ; 0 = AUTO.",Voltage Regulator Current Limit (Icc Max). This value represents the Maximum instantaneous current allowed at any given time. The value is represented in 1/4 A increments. A value of 400 = 100A. 0 means AUTO.
0x189,2,SA,VR Current Limit,Numeric,0,1023,1,"0..1023 raw, pas 0,25 A (255.75 A max IFR); 0=AUTO/0 selon champ",0,🔴,👀 IFR + lecture live,"Fixe ICCMAX du VR SA, en pas de 1/4 A ; 0 = AUTO.",Voltage Regulator Current Limit (Icc Max). This value represents the Maximum instantaneous current allowed at any given time. The value is represented in 1/4 A increments. A value of 400 = 100A. 0 means AUTO.
0x18B,2,E-core,VR Current Limit,Numeric,0,1023,1,"0..1023 raw, pas 0,25 A (255.75 A max IFR); 0=AUTO/0 selon champ",0,🔴,👀 IFR + lecture live,"Fixe ICCMAX du VR E-core, en pas de 1/4 A ; 0 = AUTO.",Voltage Regulator Current Limit (Icc Max). This value represents the Maximum instantaneous current allowed at any given time. The value is represented in 1/4 A increments. A value of 400 = 100A. 0 means AUTO.
0x191,2,P-core,TDC Chosen Mode Current Limit,Numeric,0,32767,125,"0..32767 raw, pas 0,125 A (4095.88 A max IFR)",0,🔴,✅ IFR,Définit la limite TDC du VR P-core en pas de 1/8 A.,"VR TDC Chosen Mode Current Limit, defined in 1/8A increments. Range 0-32767. For a TDC Current Limit of 125A, enter 1000. 0 = 0 Amps."
0x193,2,GT/iGPU,TDC Chosen Mode Current Limit,Numeric,0,32767,125,"0..32767 raw, pas 0,125 A (4095.88 A max IFR)",0,🔴,✅ IFR,Définit la limite TDC du VR GT/iGPU en pas de 1/8 A.,"VR TDC Chosen Mode Current Limit, defined in 1/8A increments. Range 0-32767. For a TDC Current Limit of 125A, enter 1000. 0 = 0 Amps."
0x195,2,SA,TDC Chosen Mode Current Limit,Numeric,0,32767,125,"0..32767 raw, pas 0,125 A (4095.88 A max IFR)",0,🔴,✅ IFR,Définit la limite TDC du VR SA en pas de 1/8 A.,"VR TDC Chosen Mode Current Limit, defined in 1/8A increments. Range 0-32767. For a TDC Current Limit of 125A, enter 1000. 0 = 0 Amps."
0x197,2,E-core,TDC Chosen Mode Current Limit,Numeric,0,32767,125,"0..32767 raw, pas 0,125 A (4095.88 A max IFR)",0,🔴,✅ IFR,Définit la limite TDC du VR E-core en pas de 1/8 A.,"VR TDC Chosen Mode Current Limit, defined in 1/8A increments. Range 0-32767. For a TDC Current Limit of 125A, enter 1000. 0 = 0 Amps."
0x19D,1,P-core,TDC Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Active/désactive la limitation TDC du VR P-core.,"VR TDC Enable. 0- Disable, 1 - Enable"
0x19E,1,GT/iGPU,TDC Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Active/désactive la limitation TDC du VR GT/iGPU.,"VR TDC Enable. 0- Disable, 1 - Enable"
0x19F,1,SA,TDC Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Active/désactive la limitation TDC du VR SA.,"VR TDC Enable. 0- Disable, 1 - Enable"
0x1A0,1,E-core,TDC Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Active/désactive la limitation TDC du VR E-core.,"VR TDC Enable. 0- Disable, 1 - Enable"
0x1A3,4,P-core,TDC Time Window,OneOf,0,448000,0,0 Auto · 1000=1 s … 448000=448 s,0 (Auto),🔴,✅ IFR,"Définit la fenêtre TDC du VR P-core, de 1 à 448 s ; 0 = Auto.","VR TDC Time Window, value in seconds. Auto = 0. Range from 1s to 448s."
0x1A7,4,GT/iGPU,TDC Time Window,OneOf,0,448000,0,0 Auto · 1000=1 s … 448000=448 s,0 (Auto),🔴,✅ IFR,"Définit la fenêtre TDC du VR GT/iGPU, de 1 à 448 s ; 0 = Auto.","VR TDC Time Window, value in seconds. Auto = 0. Range from 1s to 448s."
0x1AB,4,SA,TDC Time Window,OneOf,0,448000,0,0 Auto · 1000=1 s … 448000=448 s,0 (Auto),🔴,✅ IFR,"Définit la fenêtre TDC du VR SA, de 1 à 448 s ; 0 = Auto.","VR TDC Time Window, value in seconds. Auto = 0. Range from 1s to 448s."
0x1AF,4,E-core,TDC Time Window,OneOf,0,448000,0,0 Auto · 1000=1 s … 448000=448 s,0 (Auto),🔴,✅ IFR,"Définit la fenêtre TDC du VR E-core, de 1 à 448 s ; 0 = Auto.","VR TDC Time Window, value in seconds. Auto = 0. Range from 1s to 448s."
0x1BB,1,P-core,TDC Lock,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Verrouille la configuration TDC du VR P-core.,VR TDC Lock
0x1BC,1,GT/iGPU,TDC Lock,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Verrouille la configuration TDC du VR GT/iGPU.,VR TDC Lock
0x1BD,1,SA,TDC Lock,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Verrouille la configuration TDC du VR SA.,VR TDC Lock
0x1BE,1,E-core,TDC Lock,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Verrouille la configuration TDC du VR E-core.,VR TDC Lock
0x1CB,1,,Tcc Offset Clamp Enable,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,"Autorise le clamp TCC/RATL, permettant au CPU de réduire ses performances pour respecter la cible thermique.",Tcc Offset Clamp bit Enable for Running Average Temperature Limit(RATL) feature to allow CPU to throttle below P1.
0x1CC,1,,Tcc Offset Lock Enable,OneOf,0,1,0,0 Disabled (def) · 1 Enabled (def),"0 (Disabled), 1 (Enabled)",🔴,✅ IFR,Verrouille le registre de cible de température/TCC associé au RATL.,Lock Enable for Running Average Temperature Limit(RATL) feature to lock Temperature Target MSR.
0x1CD,2,,IMON Slope VDD2H,Numeric,0,200,1,0..200 raw /100; 0=AUTO,0,🔴,✅ IFR,Calibre la pente du télémétrage de courant IMON pour VDD2H.,"IMON Slope defined in 1/100 increments. Range is 0-200. For a 1.25 slope, enter 125. 0 = AUTO."
0x1CF,4,,IMON Offset VDD2H,Numeric,0,63999,1,0..63999 raw /1000,0,🔴,✅ IFR,Calibre l'offset du télémétrage IMON pour VDD2H.,"IMON Offset defined in 1/1000 increments. Range is 0-63999. For an offset of 25.348, enter 25348."
0x1D3,2,,IMON Slope VDD2L,Numeric,0,200,1,0..200 raw /100; 0=AUTO,0,🔴,✅ IFR,Calibre la pente du télémétrage de courant IMON pour VDD2L.,"IMON Slope defined in 1/100 increments. Range is 0-200. For a 1.25 slope, enter 125. 0 = AUTO."
0x1D5,4,,IMON Offset VDD2L,Numeric,0,63999,1,0..63999 raw /1000,0,🔴,✅ IFR,Calibre l'offset du télémétrage IMON pour VDD2L.,"IMON Offset defined in 1/1000 increments. Range is 0-63999. For an offset of 25.348, enter 25348."
0x1D9,2,,ISYS Current Limit L1,Numeric,0,32767,1,"0..32767 raw, pas 0,125 A (4095.88 A max IFR)",0,🔴,✅ IFR,Définit le seuil de courant système ISYS de niveau L1.,"This field indicated the current limitation of L1. Units of measurements are 1/8 A. For a 6.5 A, enter 52 (0x34)."
0x1DB,1,,ISYS Current Limit L1 Enable,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Active/désactive l'algorithme de limite de courant ISYS L1.,This bits enables disables ISYS_CURRENT_LIMIT_L1 algorithm
0x1DC,1,,ISYS Current Limit L1 Tau,OneOf,0,128,0,0 0 (def) · 1 1 · 2 2 · 3 3 · 4 4 · 5 5 · 6 6 · 7 7 · 8 8 · 10 10 · 12 12 · 14 14 · …,0 (0),🔴,✅ IFR,Définit la fenêtre temporelle/Tau de la limite ISYS L1.,Isys L1 time window value in seconds. The value may vary from 0 to 128. 0 = default values. Specifies the time window used to calculate average current for ISYS_L1.
0x1DD,2,,ISYS Current Limit L2,Numeric,0,32767,1,"0..32767 raw, pas 0,125 A (4095.88 A max IFR)",0,🔴,✅ IFR,Définit le seuil de courant système ISYS de niveau L2.,"This field indicated the current limitation of L2. Units of measurements are 1/8 A. For a 6.5 A, enter 52 (0x34)."
0x1DF,1,,ISYS Current Limit L2 Enable,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Active/désactive l'algorithme de limite de courant ISYS L2.,This bits enables disables ISYS_CURRENT_LIMIT_L2 algorithm
0x1E0,1,,ThETA Ibatt Feature,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🟡,✅ IFR,Active/désactive la fonction ThETA basée sur le courant batterie (Ibatt).,Enable/Disable ThETA Ibatt Feature
0x1E1,2,,Vsys Max,Numeric,0,65535,1,0..65535 raw /1000; 0=AUTO,0,🔴,✅ IFR,Définit la tension système VSYS maximale utilisée par la politique de plateforme.,"Vsys Max defined in 1/1000 increments. Range is 0-65535. For a 1.25 voltage, enter 1250. 0 = AUTO."
0x20F,1,,Acoustic Noise Mitigation,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🟡,✅ IFR,Active une mitigation du bruit électrique/acoustique lorsque le CPU entre dans des C-states profonds.,Enabling this option will help mitigate acoustic noise on certain SKUs when the CPU is in deeper C state
0x216,1,,Slow Slew Rate for Core Domain,OneOf,0,1,0,0 Fast/2 (def) · 1 Fast/4,0 (Fast/2),🟠,✅ IFR,Réduit la slew rate du domaine Core lors des transitions de C-state profond pour limiter le bruit acoustique.,"Set VR Core Slow Slew Rate for Deep Package C State ramp time; Slow slew rate equals to Fast divided by number, the number is 2, 4, 8, 16 to slow down the slew rate to help minimize acoustic noise"
0x217,1,,Slow Slew Rate for GT Domain,OneOf,0,2,0,0 Fast/2 (def) · 1 Fast/4 · 2 Fast/8,0 (Fast/2),🟠,✅ IFR,Réduit la slew rate du domaine GT/iGPU lors des transitions de C-state profond.,"Set VR GT Slow Slew Rate for Deep Package C State ramp time; Slow slew rate equals to Fast divided by number, the number is 2, 4, 8 to slow down the slew rate to help minimize acoustic noise; divide by 16 is disabled"
0x219,1,,Slow Slew Rate for ATOM Domain,OneOf,0,1,0,0 Fast/2 (def) · 1 Fast/4,0 (Fast/2),🟠,✅ IFR,Réduit la slew rate du domaine ATOM/E-core pour limiter le bruit acoustique.,"Set VR ATOM Slow Slew Rate for Deep Package C State ramp time; Slow slew rate equals to Fast divided by number, the number is 2, 4, 8 to slow down the slew rate to help minimize acoustic noise; divide by 16 is disabled"
0x222,4,,BCLK RFI Frequency - SAGV Low,Numeric,,,,4-byte IFR field; default 0; exact numeric range not promoted from current notes,0,🟠,✅ IFR,Fréquence RFI BCLK associée au point SAGV Low. La valeur 0 laisse aucun override de fréquence RFI.,Recovered BCLK RFI/SAGV frequency field; default 0.
0x226,4,,BCLK RFI Frequency - SAGV Mid,Numeric,,,,4-byte IFR field; default 0; exact numeric range not promoted from current notes,0,🟠,✅ IFR,Fréquence RFI BCLK associée au point SAGV Mid. La valeur 0 laisse aucun override de fréquence RFI.,Recovered BCLK RFI/SAGV frequency field; default 0.
0x22A,4,,BCLK RFI Frequency - SAGV High,Numeric,,,,4-byte IFR field; default 0; exact numeric range not promoted from current notes,0,🟠,✅ IFR,Fréquence RFI BCLK associée au point SAGV High. La valeur 0 laisse aucun override de fréquence RFI.,Recovered BCLK RFI/SAGV frequency field; default 0.
0x22E,4,,BCLK RFI Frequency - SAGV Max,Numeric,,,,4-byte IFR field; default 0; exact numeric range not promoted from current notes,0,🟠,✅ IFR,Fréquence RFI BCLK associée au point SAGV Max. La valeur 0 laisse aucun override de fréquence RFI.,Recovered BCLK RFI/SAGV frequency field; default 0.
0x232,1,,BCLK Spread,OneOf,0,1,0,0 Disabled · 1 Enabled (default),1 (Enabled),🟠,🧪 testé,Active/désactive le Spread Spectrum du BCLK. 0 a été testé sur la machine cible.,"BCLK Spread Spectrum control; 0 Disabled, 1 Enabled."
0x236,1,,Enable Configurable Base Power,OneOf,0,1,0,0 Applies to non-cTDP · 1 Applies to cTDP (def),1 (Applies to cTDP),🟠,✅ IFR,Active la fonction Intel Configurable Base Power.,Applies Assured Power (cTDP) initialization settings based on non-Assured Power (cTDP) or Assured Power (cTDP). Default is 1: Applies to Assured Power (cTDP); if 0 then applies non-Assured Power (cTDP) and BIOS will bypass Assured Power (cTDP) initialization flow
0x2FD,1,,DLVR SSC Value,OneOf,0,16,0,0 0% · 2 0.5% · 4 1% · 8 2% · 16 4%,2,🟠,✅ IFR,Règle l'amplitude SSC utilisée pour la mitigation RFI du DLVR.,"DLVR SSC in percentage with multiple of 0.25%. 0 = 0%, 10 =4%."
0x2FE,2,,DLVR RFI Frequency,OneOf,0,1,0,0 2227MHz · 1 2140MHz,0,🟠,✅ IFR,Sélectionne la fréquence RFI du DLVR.,DLVR RFI Frequency in MHz.
0x300,1,,Global DLVR RFI Mitigation Control,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,✅ IFR,Active/désactive globalement la mitigation RFI du DLVR.,Enable/Disable Global DLVR RFI Mitigation Control
0x301,1,,DLVR PHASE_SSC,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🟠,✅ IFR,Contrôle la modulation de phase SSC du DLVR.,Enable/Disable DLVR PHASE_SSC
0x303,1,,CrashLog GPRs,OneOf,0,2,0,0..2,—,🟡,✅ IFR,Contrôle la collecte des registres généraux CPU dans CrashLog ; peut exposer le contenu des registres au moment d'un crash.,Helps collecting crash data from PMC SSRAM. Enabling this may expose personal or confidential information that may be held in the GPRs at the time of the Crash trigger
0x304,1,,Vsys/Psys Critical,OneOf,0,2,0,0 Disabled (def) · 1 Psys Critical · 2 Vsys Critical,0 (Disabled),🔴,✅ IFR,Contrôle la surveillance/gestion des seuils critiques VSYS/PSYS.,Vsys/Psys Critical Enable or disable
0x305,1,,Assertion Deglitch Mantissa,Numeric,0,255,1,"0..255, step 1",1,🟡,✅ IFR,Mantisse du délai de deglitch à l'assertion du signal critique VSYS/PSYS.,Assertion Deglitch Mantissa 0x4F[7-3]. Assertion Deglitch = 2µs * Mantissa * 2^(Exponent)
0x306,1,,Assertion Deglitch Exponent,Numeric,0,255,1,"0..255, step 1",0,🟡,✅ IFR,Exposant du délai de deglitch à l'assertion du signal critique VSYS/PSYS.,Assertion Deglitch Exponent 0x4F[3-0]. Assertion Deglitch = 2µs * Mantissa * 2^(Exponent)
0x307,1,,De assertion Deglitch Mantissa,Numeric,0,255,1,"0..255, step 1",13,🟡,✅ IFR,Mantisse du délai de deglitch à la désassertion du signal critique VSYS/PSYS.,De Assertion Deglitch Mantissa 0x49[7-3]. Assertion Deglitch = 2µs * Mantissa * 2^(Exponent)
0x308,1,,De assertion Deglitch Exponent,Numeric,0,255,1,"0..255, step 1",2,🟡,✅ IFR,Exposant du délai de deglitch à la désassertion du signal critique VSYS/PSYS.,De Assertion Deglitch Exponent 0x49[3-0]. Assertion Deglitch = 2µs * Mantissa * 2^(Exponent)
0x33A,1,,DFD Enable,OneOf,0,1,0,0..1,—,🟡,✅ IFR,Contrôle l'alimentation de la logique DFD (debug/diagnostic) du processeur.,"When enabled, DFD power will keep up; when disabled, DFD power will shutdown"
0x33B,2,P-core,VR Fast Vmode ICC Limit,Numeric,0,2040,1,"0..2040 raw, pas 0,25 A (510 A max IFR); 0=AUTO/0 selon champ",0,🔴,✅ IFR,"Seuil de courant déclenchant la protection réactive Fast Vmode pour P-core, en pas de 1/4 A.",Voltage Regulator Fast Vmode ICC Limit. A value of 400 = 100A. This value represents the current threshold where the VR would initiate reactive protection if Fast Vmode is enabled. The value is represented in 1/4 A increments.
0x33D,2,GT/iGPU,VR Fast Vmode ICC Limit,Numeric,0,2040,1,"0..2040 raw, pas 0,25 A (510 A max IFR); 0=AUTO/0 selon champ",0,🔴,✅ IFR,"Seuil de courant déclenchant la protection réactive Fast Vmode pour GT/iGPU, en pas de 1/4 A.",Voltage Regulator Fast Vmode ICC Limit. A value of 400 = 100A. This value represents the current threshold where the VR would initiate reactive protection if Fast Vmode is enabled. The value is represented in 1/4 A increments.
0x33F,2,SA,VR Fast Vmode ICC Limit,Numeric,0,2040,1,"0..2040 raw, pas 0,25 A (510 A max IFR); 0=AUTO/0 selon champ",0,🔴,✅ IFR,"Seuil de courant déclenchant la protection réactive Fast Vmode pour SA, en pas de 1/4 A.",Voltage Regulator Fast Vmode ICC Limit. A value of 400 = 100A. This value represents the current threshold where the VR would initiate reactive protection if Fast Vmode is enabled. The value is represented in 1/4 A increments.
0x341,2,E-core,VR Fast Vmode ICC Limit,Numeric,0,2040,1,"0..2040 raw, pas 0,25 A (510 A max IFR); 0=AUTO/0 selon champ",0,🔴,✅ IFR,"Seuil de courant déclenchant la protection réactive Fast Vmode pour E-core, en pas de 1/4 A.",Voltage Regulator Fast Vmode ICC Limit. A value of 400 = 100A. This value represents the current threshold where the VR would initiate reactive protection if Fast Vmode is enabled. The value is represented in 1/4 A increments.
0x343,2,L2,VR Fast Vmode ICC Limit,Numeric,0,2040,1,"0..2040 raw, pas 0,25 A (510 A max IFR); 0=AUTO/0 selon champ",0,🔴,✅ IFR,"Seuil de courant déclenchant la protection réactive Fast Vmode pour L2, en pas de 1/4 A.",Voltage Regulator Fast Vmode ICC Limit. A value of 400 = 100A. This value represents the current threshold where the VR would initiate reactive protection if Fast Vmode is enabled. The value is represented in 1/4 A increments.
0x345,2,VDDQ,VR Fast Vmode ICC Limit,Numeric,0,2040,1,"0..2040 raw, pas 0,25 A (510 A max IFR); 0=AUTO/0 selon champ",0,🔴,✅ IFR,"Seuil de courant déclenchant la protection réactive Fast Vmode pour VDDQ, en pas de 1/4 A.",Voltage Regulator Fast Vmode ICC Limit. A value of 400 = 100A. This value represents the current threshold where the VR would initiate reactive protection if Fast Vmode is enabled. The value is represented in 1/4 A increments.
0x348,1,P-core,Core VR Fast Vmode,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Active le Fast Vmode du VR pour le domaine Core.,Core VR Fast Vmode. Use to control Core Fast Vmode Enable/Disable.
0x349,1,GT/iGPU,GT VR Fast Vmode,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Active le Fast Vmode du VR pour le domaine GT/iGPU.,GT VR Fast Vmode. Use to control GT Fast Vmode Enable/Disable.
0x34A,1,SA,SA VR Fast Vmode,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Active le Fast Vmode du VR pour le domaine System Agent.,SA VR Fast Vmode. Use to control SA Fast Vmode Enable/Disable.
0x351,4,,Vsys/Psys Full Scale,Numeric,0,255000,1,"0..255000, step 1",24000,🔴,✅ IFR,Définit l'échelle pleine utilisée pour la mesure VSYS/PSYS.,"Input Vsys/Psys Full Scale and Critical Threshold to program Vsys/Psys Critical(0x4A). Vsys/Psys Critical = (Critical Threshold/Full Scale) * 0xFF, Input is in mVolts."
0x355,4,,Vsys/Psys Critical Threshold,Numeric,0,255000,1,0..255000 %,6000,🔴,✅ IFR,Définit le seuil critique utilisé pour VSYS/PSYS.,en-US “Input Vsys/Psys Full Scale & Critical Threshold. Vsys/Psys Critical = (Critical Threshold/Full Scale). Vsys input is in mVolts. Psys input is in mW or in m% (for ATX12VO)
0x359,4,,Vsys/Psys Full Scale,Numeric,0,255000,1,"0..255000, step 1",200000,🔴,✅ IFR,Définit l'échelle pleine utilisée pour la mesure VSYS/PSYS.,"Input Vsys/Psys Full Scale and Critical Threshold to program Vsys/Psys Critical(0x4A). Vsys/Psys Critical = (Critical Threshold/Full Scale) * 0xFF, Input is in mVolts."
0x35D,4,,Vsys/Psys Critical Threshold,Numeric,0,255000,1,0..255000 %,130000,🔴,✅ IFR,Définit le seuil critique utilisé pour VSYS/PSYS.,en-US “Input Vsys/Psys Full Scale & Critical Threshold. Vsys/Psys Critical = (Critical Threshold/Full Scale). Vsys input is in mVolts. Psys input is in mW or in m% (for ATX12VO)
0x3D8,1,,PROCHOT Demotion,OneOf,0,1,0,0 Disabled · 1 Hardware Default (def),1 (Hardware Default),🔴,✅ IFR,Algorithme de baisse graduelle de fréquence lorsqu'un événement PROCHOT persiste.,"PROCHOT Demotion Algorithm. PROCHOT Demotion Algorithm will limit the frequency to a lower point gradually instead of limiting to LFM immediately. Disable means BIOS provides the capability to disable it via pcode mailbox. Hardware Default means BIOS do nothing, thus keep Prochot Demotion Algorithm in hardware default status."
0x3D9,1,,VrAlert Demotion,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,🧰 IFR + script,Algorithme de baisse de fréquence en réponse aux alertes VR persistantes. Le script expérimental fourni force 0 (Disabled).,VrAlert Demotion Algorithm. VrAlert Demotion Algorithm will help by lowering the corresponding domain to lower frequency and potentially lowering voltage of the VR. Disable means BIOS provides the capability to disable it via pcode mailbox.
0x3E0,1,,VDD2L Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🟡,✅ IFR,Sélectionne le signe de l'offset IMON VDD2L.,Sets the offset value as positive or negative.
0x3E1,1,,VDD2H Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🟡,✅ IFR,Sélectionne le signe de l'offset IMON VDD2H.,Sets the offset value as positive or negative.
0x3E7,1,,Skin Control Temperature Enable MMIO,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🟡,✅ IFR,Active le contrôle de température de surface via l'interface MMIO.,Enables the skin temperature control for MMIO register.
0x3EA,1,,Skin Temperature Loop Gain,Numeric,0,7,1,"0..7, step 1",0,🔴,✅ IFR,Règle le gain de boucle du contrôle de température de surface.,"Sets the aggressiveness of control loop where 0 – graceful, favors performance on expense of temperature overshoots and 7 – aggressive, favors tight regulation over performance. Range is 0-7"
0x3ED,1,,Skin Temperature Override Enable,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Autorise une valeur de température de surface forcée.,"When set, Pcode will use TEMPERATURE_OVERRIDE values instead of reading from corresponding sensor."
0x3F0,1,,Skin Temperature Minimum Performance Level,Numeric,0,255,1,"0..255, step 1",0,🔴,✅ IFR,Fixe le niveau de performance minimal permis par la boucle de température de surface.,Minimum Performance level below which the STC limit will not throttle. 0 - all levels of throttling allowed incl. survivability actions. 256 - no throttling allowed
0x3F3,1,,Skin Temperature Override,Numeric,0,255,1,"0..255, step 1",0,🔴,✅ IFR,Valeur de température de surface forcée lorsque l'override est actif.,Allows SW to override the input temperature. Pcode will use this value instead of the sensor temperature. EC control is not impacted. Units: 0.5C. Values are 0 to 255 which represents 0C-122.5C range
